Name,Sex,Age,Height,Weight,Team,Year,Season,City,Sport,Medal
Juhamatti Tapio Aaltonen,M,28.0,184.0,85.0,Finland,2014,Winter,Sochi,Ice Hockey,Bronze
Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland,1948,Summer,London,Gymnastics,Bronze
Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland,1948,Summer,London,Gymnastics,Gold
Paavo Johannes Aaltonen,M,32.0,175.0,64.0,Finland,1952,Summer,Helsinki,Gymnastics,Bronze
Kjetil Andr Aamodt,M,20.0,176.0,85.0,Norway,1992,Winter,Albertville,Alpine Skiing,Gold
Kjetil Andr Aamodt,M,20.0,176.0,85.0,Norway,1992,Winter,Albertville,Alpine Skiing,Bronze
Kjetil Andr Aamodt,M,22.0,176.0,85.0,Norway,1994,Winter,Lillehammer,Alpine Skiing,Silver
Kjetil Andr Aamodt,M,22.0,176.0,85.0,Norway,1994,Winter,Lillehammer,Alpine Skiing,Bronze
Kjetil Andr Aamodt,M,30.0,176.0,85.0,Norway,2002,Winter,Salt Lake City,Alpine Skiing,Gold
Kjetil Andr Aamodt,M,34.0,176.0,85.0,Norway,2006,Winter,Torino,Alpine Skiing,Gold
Pepijn Aardewijn,M,26.0,189.0,72.0,Netherlands,1996,Summer,Atlanta,Rowing,Silver
Ann Kristin Aarnes,F,23.0,182.0,64.0,Norway,1996,Summer,Atlanta,Football,Bronze
Giovanni Abagnale,M,21.0,198.0,90.0,Italy,2016,Summer,Rio de Janeiro,Rowing,Bronze
Jos Luis Abajo Gmez,M,30.0,194.0,87.0,Spain,2008,Summer,Beijing,Fencing,Bronze
Patimat Abakarova,F,21.0,165.0,49.0,Azerbaijan,2016,Summer,Rio de Janeiro,Taekwondo,Bronze
Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,179.0,80.0,Russia,2008,Summer,Beijing,Athletics,Silver
Aleksey Aleksandrovich Abalmasov,M,28.0,180.0,83.0,Belarus,2008,Summer,Beijing,Canoeing,Gold
Luc Abalo,M,23.0,182.0,86.0,France,2008,Summer,Beijing,Handball,Gold
Luc Abalo,M,27.0,182.0,86.0,France,2012,Summer,London,Handball,Gold
Luc Abalo,M,31.0,182.0,86.0,France,2016,Summer,Rio de Janeiro,Handball,Silver
Jouan Patrice Abanda Etong,M,22.0,185.0,82.0,Cameroon,2000,Summer,Sydney,Football,Gold
Jos Mara Abarca Plotas,M,22.0,186.0,83.0,Spain,1996,Summer,Atlanta,Water Polo,Gold
Stephen Anthony Abas,M,26.0,165.0,55.0,United States,2004,Summer,Athina,Wrestling,Silver
Alejandro Abascal Garca,M,28.0,181.0,82.0,Spain,1980,Summer,Moskva,Sailing,Gold
Jos Manuel Abascal Gmez,M,26.0,182.0,67.0,Spain,1984,Summer,Los Angeles,Athletics,Bronze
Tamila Rashidovna Abasova,F,21.0,163.0,60.0,Russia,2004,Summer,Athina,Cycling,Silver
Jol Marc Abati,M,38.0,190.0,85.0,France,2008,Summer,Beijing,Handball,Gold
Pter Abay,M,30.0,181.0,79.0,Hungary,1992,Summer,Barcelona,Fencing,Silver
Agostino Abbagnale,M,22.0,188.0,96.0,Italy,1988,Summer,Seoul,Rowing,Gold
Agostino Abbagnale,M,29.0,188.0,96.0,Italy,1996,Summer,Atlanta,Rowing,Gold
Agostino Abbagnale,M,34.0,188.0,96.0,Italy,2000,Summer,Sydney,Rowing,Gold
Carmine Abbagnale,M,22.0,182.0,90.0,Italy,1984,Summer,Los Angeles,Rowing,Gold
Carmine Abbagnale,M,26.0,182.0,90.0,Italy,1988,Summer,Seoul,Rowing,Gold
Carmine Abbagnale,M,30.0,182.0,90.0,Italy,1992,Summer,Barcelona,Rowing,Silver
Giuseppe Abbagnale,M,25.0,187.0,97.0,Italy,1984,Summer,Los Angeles,Rowing,Gold
Giuseppe Abbagnale,M,29.0,187.0,97.0,Italy,1988,Summer,Seoul,Rowing,Gold
Giuseppe Abbagnale,M,33.0,187.0,97.0,Italy,1992,Summer,Barcelona,Rowing,Silver
"Desmond ""Des"" Abbott",M,21.0,184.0,87.0,Australia,2008,Summer,Beijing,Hockey,Bronze
Jeremy Abbott,M,28.0,175.0,70.0,United States,2014,Winter,Sochi,Figure Skating,Bronze
Monica Cecilia Abbott,F,23.0,191.0,88.0,United States,2008,Summer,Beijing,Softball,Silver
Nia Nicole Abdallah,F,20.0,175.0,56.0,United States,2004,Summer,Athina,Taekwondo,Silver
Saeid Morad Abdevali,M,26.0,170.0,80.0,Iran,2016,Summer,Rio de Janeiro,Wrestling,Bronze
Reema Abdo,F,21.0,173.0,59.0,Canada,1984,Summer,Los Angeles,Swimming,Bronze
Lala Abdul Rashid,M,38.0,169.0,91.0,Pakistan,1960,Summer,Roma,Hockey,Gold
Muhammad Abdul Rashid,M,23.0,181.0,72.0,Pakistan,1964,Summer,Tokyo,Hockey,Silver
Zagalav Abdulbekovich Abdulbekov,M,26.0,160.0,62.0,Soviet Union,1972,Summer,Munich,Wrestling,Gold
Mukhammad Kadyr Abdullayev,M,26.0,169.0,63.0,Uzbekistan,2000,Summer,Sydney,Boxing,Gold
Namiq Yadulla Abdullayev,M,25.0,167.0,55.0,Azerbaijan,1996,Summer,Atlanta,Wrestling,Silver
Namiq Yadulla Abdullayev,M,29.0,167.0,55.0,Azerbaijan,2000,Summer,Sydney,Wrestling,Gold
Julius Shareef Abdur-Rahim,M,23.0,202.0,104.0,United States,2000,Summer,Sydney,Basketball,Gold
Yusup Abdusalomov,M,30.0,170.0,84.0,Tajikistan,2008,Summer,Beijing,Wrestling,Silver
Andrey Khakimovich Abduvaliyev,M,26.0,190.0,125.0,Unified Team,1992,Summer,Barcelona,Athletics,Gold
Masashi Abe,M,28.0,175.0,64.0,Japan,1994,Winter,Lillehammer,Nordic Combined,Gold
Addis Abebe,M,21.0,160.0,50.0,Ethiopia,1992,Summer,Barcelona,Athletics,Bronze
Clarence John Abel,M,23.0,185.0,102.0,United States,1924,Winter,Chamonix,Ice Hockey,Silver
Irene Abel,F,19.0,160.0,48.0,East Germany,1972,Summer,Munich,Gymnastics,Silver
Jennifer Abel,F,20.0,160.0,62.0,Canada,2012,Summer,London,Diving,Bronze
Gezahgne Abera,M,22.0,166.0,58.0,Ethiopia,2000,Summer,Sydney,Athletics,Gold
Nils Georg berg,M,19.0,181.0,78.0,Sweden,1912,Summer,Stockholm,Athletics,Bronze
Nils Georg berg,M,19.0,181.0,78.0,Sweden,1912,Summer,Stockholm,Athletics,Silver
Michael Brent Abernathy,M,22.0,182.0,84.0,United States,2000,Summer,Sydney,Baseball,Gold
Elvan Abeylegesse,F,25.0,159.0,40.0,Turkey,2008,Summer,Beijing,Athletics,Silver
Ismail Abilov (-Nizamolu),M,29.0,172.0,82.0,Bulgaria,1980,Summer,Moskva,Wrestling,Gold
"Edgar Allen ""Ed"" Ablowich",M,19.0,182.0,68.0,United States,1932,Summer,Los Angeles,Athletics,Gold
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,2012,Summer,London,Gymnastics,Bronze
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,2012,Summer,London,Gymnastics,Silver
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,2016,Summer,Rio de Janeiro,Gymnastics,Silver
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,2016,Summer,Rio de Janeiro,Gymnastics,Bronze
Viktor Andreyevich Aboimov,M,22.0,190.0,78.0,Soviet Union,1972,Summer,Munich,Swimming,Silver
Viktor Andreyevich Aboimov,M,22.0,190.0,78.0,Soviet Union,1972,Summer,Munich,Swimming,Bronze
"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,Australia,2016,Summer,Rio de Janeiro,Swimming,Bronze
Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21.0,188.0,87.0,Egypt,2012,Summer,London,Fencing,Silver
Attila brahm,M,21.0,192.0,88.0,Hungary,1988,Summer,Seoul,Canoeing,Bronze
Attila brahm,M,21.0,192.0,88.0,Hungary,1988,Summer,Seoul,Canoeing,Gold
Attila brahm,M,25.0,192.0,88.0,Hungary,1992,Summer,Barcelona,Canoeing,Silver
Gary Abraham,M,21.0,175.0,64.0,Great Britain,1980,Summer,Moskva,Swimming,Bronze
Ara Abrahamian,M,29.0,191.0,84.0,Sweden,2004,Summer,Athina,Wrestling,Silver
Harold Maurice Abrahams,M,24.0,183.0,75.0,Great Britain,1924,Summer,Paris,Athletics,Gold
Harold Maurice Abrahams,M,24.0,183.0,75.0,Great Britain,1924,Summer,Paris,Athletics,Silver
Erik Adolf Efraim Abrahamsson,M,22.0,172.0,61.0,Sweden,1920,Summer,Antwerpen,Athletics,Bronze
Pavel Sergeyevich Abramov,M,25.0,198.0,89.0,Russia,2004,Summer,Athina,Volleyball,Bronze
Nelli Mikhaylovna Abramova,F,24.0,171.0,60.0,Soviet Union,1964,Summer,Tokyo,Volleyball,Silver
Yekaterina Konstantinovna Abramova,F,23.0,167.0,65.0,Russia,2006,Winter,Torino,Speed Skating,Bronze
"Alejandro ""lex"" Abrines Redondo",M,23.0,198.0,93.0,Spain,2016,Summer,Rio de Janeiro,Basketball,Bronze
Svetlana Olegovna Abrosimova,F,28.0,188.0,77.0,Russia,2008,Summer,Beijing,Basketball,Bronze
Saypulla Atavovich Absaidov,M,22.0,168.0,68.0,Soviet Union,1980,Summer,Moskva,Wrestling,Gold
Julien Absalon,M,23.0,180.0,68.0,France,2004,Summer,Athina,Cycling,Gold
Julien Absalon,M,27.0,180.0,68.0,France,2008,Summer,Beijing,Cycling,Gold
Ahmad Abughaush,M,20.0,178.0,68.0,Jordan,2016,Summer,Rio de Janeiro,Taekwondo,Gold
Ginko Abukawa-Chiba,F,26.0,148.0,46.0,Japan,1964,Summer,Tokyo,Gymnastics,Bronze
Aleksandr Veniaminovich Abushakhmetov,M,25.0,189.0,81.0,Soviet Union,1980,Summer,Moskva,Fencing,Bronze
Magomedgasan Mingazhutdinovich Abushev,M,20.0,170.0,62.0,Soviet Union,1980,Summer,Moskva,Wrestling,Gold
Andreea Roxana Acatrinei,F,16.0,150.0,40.0,Romania,2008,Summer,Beijing,Gymnastics,Bronze
William Accambray,M,24.0,194.0,104.0,France,2012,Summer,London,Handball,Gold
Paul Accola,M,20.0,176.0,82.0,Switzerland,1988,Winter,Calgary,Alpine Skiing,Bronze
Anibl Santiago Acevedo,M,21.0,176.0,67.0,Puerto Rico,1992,Summer,Barcelona,Boxing,Bronze
Daniel Aceves Villagrn,M,19.0,158.0,52.0,Mexico,1984,Summer,Los Angeles,Wrestling,Silver
Joachim Yaw Acheampong,M,18.0,181.0,73.0,Ghana,1992,Summer,Barcelona,Football,Bronze
Alfred Achermann,M,24.0,176.0,75.0,Switzerland,1984,Summer,Los Angeles,Cycling,Silver
Abdel Hak Achik,M,29.0,165.0,54.0,Morocco,1988,Summer,Seoul,Boxing,Bronze
Mohamed Abdelhak Achik,M,27.0,174.0,57.0,Morocco,1992,Summer,Barcelona,Boxing,Bronze
Rita Nikolayevna Achkina,F,30.0,168.0,63.0,Soviet Union,1968,Winter,Grenoble,Cross Country Skiing,Bronze
Chantal Achterberg,F,27.0,172.0,72.0,Netherlands,2012,Summer,London,Rowing,Bronze
Chantal Achterberg,F,31.0,172.0,72.0,Netherlands,2016,Summer,Rio de Janeiro,Rowing,Silver
Paul Douglas Ackerley,M,27.0,179.0,68.0,New Zealand,1976,Summer,Montreal,Hockey,Gold
Ronny Ackermann,M,24.0,184.0,69.0,Germany,2002,Winter,Salt Lake City,Nordic Combined,Silver
Ronny Ackermann,M,28.0,184.0,69.0,Germany,2006,Winter,Torino,Nordic Combined,Silver
Donat Acklin,M,26.0,190.0,99.0,Switzerland-1,1992,Winter,Albertville,Bobsleigh,Gold
Donat Acklin,M,26.0,190.0,99.0,Switzerland-1,1992,Winter,Albertville,Bobsleigh,Bronze
Donat Acklin,M,28.0,190.0,99.0,Switzerland-1,1994,Winter,Lillehammer,Bobsleigh,Gold
Donat Acklin,M,28.0,190.0,99.0,Switzerland-1,1994,Winter,Lillehammer,Bobsleigh,Silver
Guido Acklin,M,24.0,200.0,104.0,Switzerland-2,1994,Winter,Lillehammer,Bobsleigh,Silver
Lautaro Germn Acosta,M,20.0,168.0,72.0,Argentina,2008,Summer,Beijing,Football,Gold
Osmay Acosta Duarte,M,23.0,188.0,91.0,Cuba,2008,Summer,Beijing,Boxing,Bronze
Kazimierz Piotr Adach,M,23.0,162.0,60.0,Poland,1980,Summer,Moskva,Boxing,Bronze
Ji Adam,M,25.0,187.0,83.0,Czechoslovakia,1976,Summer,Montreal,Modern Pentathlon,Silver
"Michael B. ""Mike"" Adam",M,24.0,175.0,95.0,Canada,2006,Winter,Torino,Curling,Gold
Dariusz Adamczuk,M,22.0,179.0,78.0,Poland,1992,Summer,Barcelona,Football,Silver
"Benjamin Willard ""Ben"" Adams",M,22.0,188.0,78.0,United States,1912,Summer,Stockholm,Athletics,Silver
"Benjamin Willard ""Ben"" Adams",M,22.0,188.0,78.0,United States,1912,Summer,Stockholm,Athletics,Bronze
Adrian Neil Adams,M,21.0,178.0,78.0,Great Britain,1980,Summer,Moskva,Judo,Silver
Adrian Neil Adams,M,25.0,178.0,78.0,Great Britain,1984,Summer,Los Angeles,Judo,Silver
Nicola Virginia Adams,F,29.0,164.0,51.0,Great Britain,2012,Summer,London,Boxing,Gold
Nicola Virginia Adams,F,33.0,164.0,51.0,Great Britain,2016,Summer,Rio de Janeiro,Boxing,Gold
Platt Adams,M,27.0,188.0,78.0,United States,1912,Summer,Stockholm,Athletics,Gold
Platt Adams,M,27.0,188.0,78.0,United States,1912,Summer,Stockholm,Athletics,Silver
Rachael Alexis Adams,F,26.0,188.0,81.0,United States,2016,Summer,Rio de Janeiro,Volleyball,Bronze
"Victoria ""Vicki"" Adams",F,24.0,164.0,69.0,Great Britain,2014,Winter,Sochi,Curling,Bronze
Valerie Kasanita Adams-Vili (-Price),F,23.0,193.0,120.0,New Zealand,2008,Summer,Beijing,Athletics,Gold
Valerie Kasanita Adams-Vili (-Price),F,27.0,193.0,120.0,New Zealand,2012,Summer,London,Athletics,Gold
Valerie Kasanita Adams-Vili (-Price),F,31.0,193.0,120.0,New Zealand,2016,Summer,Rio de Janeiro,Athletics,Silver
Filip Kamil Adamski,M,29.0,189.0,87.0,Germany,2012,Summer,London,Rowing,Gold
Jerzy Adamski,M,23.0,171.0,58.0,Poland,1960,Summer,Roma,Boxing,Silver
Simon Addo,M,17.0,180.0,79.0,Ghana,1992,Summer,Barcelona,Football,Bronze
Olubayo Adefemi,M,22.0,181.0,82.0,Nigeria,2008,Summer,Beijing,Football,Silver
"Ayodele ""Dele"" Adeleye",M,19.0,190.0,80.0,Nigeria,2008,Summer,Beijing,Football,Silver
Ademir Roque Kaefer,M,24.0,179.0,74.0,Brazil,1984,Summer,Los Angeles,Football,Silver
Ademir Roque Kaefer,M,28.0,179.0,74.0,Brazil,1988,Summer,Seoul,Football,Silver
Olapade Charles Adeniken,M,22.0,186.0,78.0,Nigeria,1992,Summer,Barcelona,Athletics,Silver
Adenzia Aparecida Ferreira da Silva,F,25.0,187.0,65.0,Brazil,2012,Summer,London,Volleyball,Gold
Franck Adisson,M,23.0,180.0,70.0,France-1,1992,Summer,Barcelona,Canoeing,Bronze
Franck Adisson,M,26.0,180.0,70.0,France-1,1996,Summer,Atlanta,Canoeing,Gold
"Richard ""Richy""  Adjei",M,27.0,190.0,110.0,Germany-2,2010,Winter,Vancouver,Bobsleigh,Silver
Derrick Ralph Adkins,M,26.0,188.0,80.0,United States,1996,Summer,Atlanta,Athletics,Gold
Daniel Adler,M,26.0,180.0,72.0,Brazil,1984,Summer,Los Angeles,Sailing,Silver
Egon Adler,M,23.0,172.0,62.0,Germany,1960,Summer,Roma,Cycling,Silver
"Rebecca ""Becky"" Adlington",F,19.0,179.0,70.0,Great Britain,2008,Summer,Beijing,Swimming,Gold
"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,Great Britain,2012,Summer,London,Swimming,Bronze
Dainius Adomaitis,M,26.0,202.0,100.0,Lithuania,2000,Summer,Sydney,Basketball,Bronze
Nathan Ghar-Jun Adrian,M,19.0,198.0,100.0,United States,2008,Summer,Beijing,Swimming,Gold
Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,United States,2012,Summer,London,Swimming,Gold
Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,United States,2012,Summer,London,Swimming,Silver
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,2016,Summer,Rio de Janeiro,Swimming,Bronze
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,2016,Summer,Rio de Janeiro,Swimming,Gold
Adriana Aparecida dos Santos,F,25.0,180.0,61.0,Brazil,1996,Summer,Atlanta,Basketball,Silver
Adriana Aparecida dos Santos,F,29.0,180.0,61.0,Brazil,2000,Summer,Sydney,Basketball,Bronze
"Adriana ""Adrianinha"" Moiss Pinto",F,21.0,170.0,65.0,Brazil,2000,Summer,Sydney,Basketball,Bronze
Attila Adrovicz,M,30.0,189.0,87.0,Hungary,1996,Summer,Atlanta,Canoeing,Silver
Klaus Aeffke,M,24.0,189.0,82.0,Germany,1964,Summer,Tokyo,Rowing,Silver
Kseniya Dmitriyevna Afanasyeva,F,20.0,158.0,48.0,Russia,2012,Summer,London,Gymnastics,Silver
Maksim Sergeyevich Afinogenov,M,22.0,183.0,88.0,Russia,2002,Winter,Salt Lake City,Ice Hockey,Bronze
"Olabisi ""Bisi"" Afolabi",F,20.0,180.0,62.0,Nigeria,1996,Summer,Atlanta,Athletics,Silver
Felicia Afrsiloaie (-Jitianu),F,22.0,178.0,70.0,Romania,1976,Summer,Montreal,Rowing,Bronze
Cecil Sebastian Afrika,M,28.0,175.0,75.0,South Africa,2016,Summer,Rio de Janeiro,Rugby Sevens,Bronze
Muhammad Afzal Manna,M,25.0,173.0,76.0,Pakistan,1964,Summer,Tokyo,Hockey,Silver
"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27.0,193.0,104.0,South Africa,2016,Summer,Rio de Janeiro,Rugby Sevens,Bronze
Lavinia Agache (-Carney),F,16.0,148.0,40.0,Romania,1984,Summer,Los Angeles,Gymnastics,Gold
Lavinia Agache (-Carney),F,16.0,148.0,40.0,Romania,1984,Summer,Los Angeles,Gymnastics,Bronze
Luca Agamennoni,M,24.0,187.0,93.0,Italy,2004,Summer,Athina,Rowing,Bronze
Luca Agamennoni,M,27.0,187.0,93.0,Italy,2008,Summer,Beijing,Rowing,Silver
Andre Kirk Agassi,M,26.0,180.0,80.0,United States,1996,Summer,Atlanta,Tennis,Gold
Clarisse Agbegnenou,F,23.0,164.0,66.0,France,2016,Summer,Rio de Janeiro,Judo,Silver
Viktor Ivanovich Ageyev,M,20.0,184.0,80.0,Soviet Union,1956,Summer,Melbourne,Water Polo,Bronze
Viktor Ivanovich Ageyev,M,24.0,184.0,80.0,Soviet Union,1960,Summer,Roma,Water Polo,Silver
Viktor Ivanovich Ageyev,M,28.0,184.0,80.0,Soviet Union,1964,Summer,Tokyo,Water Polo,Bronze
Marilyn Agliotti,F,29.0,172.0,58.0,Netherlands,2008,Summer,Beijing,Hockey,Gold
Marilyn Agliotti,F,33.0,172.0,58.0,Netherlands,2012,Summer,London,Hockey,Gold
Yannick Agnel,M,20.0,202.0,90.0,France,2012,Summer,London,Swimming,Gold
Yannick Agnel,M,20.0,202.0,90.0,France,2012,Summer,London,Swimming,Silver
Meghan Christina Agosta (-Marciano),F,18.0,168.0,67.0,Canada,2006,Winter,Torino,Ice Hockey,Gold
Meghan Christina Agosta (-Marciano),F,23.0,168.0,67.0,Canada,2010,Winter,Vancouver,Ice Hockey,Gold
Meghan Christina Agosta (-Marciano),F,26.0,168.0,67.0,Canada,2014,Winter,Sochi,Ice Hockey,Gold
"Benjamin Alexandro ""Ben"" Agosto",M,24.0,178.0,75.0,United States-1,2006,Winter,Torino,Figure Skating,Silver
Judit goston-Mendelnyi,F,27.0,164.0,62.0,Hungary,1964,Summer,Tokyo,Fencing,Gold
Sergio Leonel Agero del Castillo,M,20.0,172.0,74.0,Argentina,2008,Summer,Beijing,Football,Gold
"Taismary ""Tai"" Agero Leiva (-Botteghi)",F,23.0,175.0,70.0,Cuba,2000,Summer,Sydney,Volleyball,Gold
Jos Aguilar Pulsn,M,20.0,173.0,64.0,Cuba,1980,Summer,Moskva,Boxing,Bronze
Macarena Aguilar Daz,F,27.0,170.0,67.0,Spain,2012,Summer,London,Handball,Bronze
Sandra Aguilar Navarro,F,23.0,167.0,50.0,Spain,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Silver
Jorge Luis Aguilera Ruiz,M,26.0,172.0,64.0,Cuba,1992,Summer,Barcelona,Athletics,Bronze
Sri Wahyuni Agustiani,F,21.0,147.0,47.0,Indonesia,2016,Summer,Rio de Janeiro,Weightlifting,Silver
Robyn Mokihana Ah Mow-Santos,F,32.0,172.0,67.0,United States,2008,Summer,Beijing,Volleyball,Silver
Kevin Joseph Ahearn,M,23.0,175.0,73.0,United States,1972,Winter,Sapporo,Ice Hockey,Silver
"Timothy Joseph ""Tim"" Ahearne",M,22.0,170.0,57.0,Great Britain,1908,Summer,London,Athletics,Gold
Bruno Valfrid Ahlberg,M,21.0,168.0,69.5,Finland,1932,Summer,Los Angeles,Boxing,Bronze
Mats Bertil hlberg,M,32.0,179.0,78.0,Sweden,1980,Winter,Lake Placid,Ice Hockey,Bronze
Annica Gunilla hln,F,27.0,177.0,75.0,Sweden,2002,Winter,Salt Lake City,Ice Hockey,Bronze
